,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
66,2019-12-04,214.0,40.0,174.0,6.0,40.0,1.0,22.0,37.0,165.0,10193.0,2870.0,7323.0,368.0,85.0,283.0,1146.0,248.0,898.0,31.0,12.0,19.0,25.0,4.0,21.0,10407.0,1071,F_ha
67,2019-12-04,77.0,52.0,25.0,17.0,6.0,1.0,1.0,45.0,25.0,1114.0,482.0,632.0,53.0,22.0,31.0,93.0,29.0,64.0,33.0,13.0,20.0,5.0,0.0,5.0,1191.0,385,F_la
68,2019-12-04,151.0,73.0,78.0,18.0,23.0,9.0,6.0,70.0,71.0,11257.0,5067.0,6190.0,367.0,146.0,221.0,1168.0,386.0,782.0,81.0,66.0,15.0,42.0,18.0,24.0,11408.0,3828,F_ma
69,2019-12-04,40.0,24.0,16.0,7.0,5.0,4.0,3.0,22.0,15.0,14098.0,7651.0,6447.0,480.0,172.0,308.0,472.0,143.0,329.0,904.0,575.0,329.0,60.0,39.0,21.0,14138.0,1792,nfns_ha
70,2019-12-04,44.0,32.0,12.0,4.0,2.0,1.0,1.0,30.0,12.0,7731.0,4784.0,2947.0,273.0,124.0,149.0,378.0,136.0,242.0,85.0,59.0,26.0,12.0,2.0,10.0,7775.0,3958,nfns_la
71,2019-12-04,210.0,134.0,76.0,36.0,15.0,25.0,3.0,110.0,74.0,97544.0,62760.0,34784.0,3663.0,2032.0,1631.0,4059.0,1466.0,2593.0,1645.0,1132.0,513.0,208.0,83.0,125.0,97754.0,49574,nfns_ma
72,2019-12-04,380.0,56.0,324.0,10.0,129.0,4.0,63.0,55.0,301.0,948.0,265.0,683.0,155.0,35.0,120.0,34.0,7.0,27.0,4.0,0.0,4.0,2.0,2.0,0.0,1328.0,128,suspended_ha
73,2019-12-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,18.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8,suspended_la
74,2019-12-04,123.0,30.0,93.0,11.0,37.0,2.0,19.0,28.0,88.0,467.0,265.0,202.0,61.0,31.0,30.0,9.0,2.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,590.0,156,suspended_ma
75,2019-12-05,42.0,18.0,24.0,3.0,5.0,2.0,1.0,18.0,22.0,1692.0,817.0,875.0,104.0,36.0,68.0,147.0,53.0,94.0,4.0,2.0,2.0,7.0,0.0,7.0,1734.0,156,A_ha
76,2019-12-05,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,66.0,45.0,21.0,3.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,28,A_la
77,2019-12-05,90.0,38.0,52.0,4.0,11.0,1.0,6.0,36.0,48.0,3013.0,1678.0,1335.0,184.0,82.0,102.0,146.0,43.0,103.0,17.0,12.0,5.0,13.0,1.0,12.0,3103.0,1155,A_ma
78,2019-12-05,1772.0,343.0,1429.0,109.0,593.0,45.0,292.0,326.0,1211.0,15093.0,4630.0,10463.0,1120.0,285.0,835.0,1227.0,250.0,977.0,134.0,37.0,97.0,5.0,1.0,4.0,16865.0,1371,D_ha
79,2019-12-05,29.0,1.0,28.0,0.0,10.0,0.0,5.0,1.0,24.0,271.0,148.0,123.0,36.0,20.0,16.0,8.0,2.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,300.0,71,D_la
80,2019-12-05,1146.0,314.0,832.0,112.0,264.0,66.0,125.0,291.0,726.0,8957.0,4455.0,4502.0,829.0,352.0,477.0,533.0,190.0,343.0,64.0,37.0,27.0,15.0,3.0,12.0,10103.0,2838,D_ma
